From|Entry
SGK1|O00141
BMPR1B|O00238
CDC7|O00311
EEF2K|O00418
PLK4|O00444
YSK1|O00506
CRIK|O14578
CHK1|O14757
BCKDK|O14874
IKKB|O14920
AURA|O14965
GAK|O14976
DCAMKL1|O15075
IKKA|O15111
PDK1|O15530
PRP4|O43172
DAPK3|O43293
TAK1|O43318
RIPK2|O43353
BUB1|O43683
DYRK3|O43781
NUAK1|O60285
ROCK2|O75116
ULK1|O75385
IRE1|O75460
MSK1|O75582
MSK2|O75676
MPSK1|O75716
PAK3|O75914
CDKL5|O76039
LOK|O94804
PRKD3|O94806
CDK14|O94921
MEKK6|O95382
OSR1|O95747
HGK|O95819
LATS1|O95835
PAK4|O96013
CHK2|O96017
MOS|P00540
RAF1|P04049
PKCG|P05129
PKCB|P05771
CDK1|P06493
PIM1|P11309
CDK4|P11802
BRAF|P15056
PHKG2|P15735
PKCA|P17252
PKACA|P17612
PKR|P19525
CK2A2|P19784
MAK|P20794
ATR|P20848
CDK2|P24941
GRK2|P25098
MST1|P26927
ACVR2A|P27037
ERK1|P27361
MARK3|P27448
ERK2|P28482
AKT1|P31749
AKT2|P31751
GRK4|P32298
TTK|P33981
GRK5|P34947
GCK|P35557
GRK3|P35626
MEK2|P36507
BMPR1A|P36894
ALK4|P36896
TGFBR1|P36897
TGFBR2|P37173
COT|P41279
MTOR|P42345
GRK6|P43250
JNK1|P45983
JNK2|P45984
TAK1|P49116
MAPKAPK2|P49137
CDK8|P49336
CLK1|P49759
CLK2|P49760
CLK3|P49761
GSK3A|P49840
GSK3B|P49841
CDK7|P50613
CDK9|P50750
IRAK1|P51617
RSK2|P51812
PRKX|P51817
NEK2|P51955
NEK3|P51956
NEK4|P51957
PLK1|P53350
DAPK1|P53355
JNK3|P53779
HUNK|P57058
SIK|P57059
ANKRD3|P57078
CK2A1|P68400
SRPK2|P78362
CK1G2|P78368
MLK1|P80192
DLK|P80370
CDK3|Q00526
CDKL1|Q00532
CDK6|Q00534
CDK5|Q00535
CDK16|Q00536
CDK17|Q00537
PKCE|Q02156
MEK1|Q02750
MLK2|Q02779
PKCD|Q05655
CDK18|Q07002
GCK|Q12851
MST1|Q13043
PAK1|Q13153
MEK5|Q13163
ERK5|Q13164
PAK2|Q13177
MST2|Q13188
MEKK1|Q13233
ATM|Q13315
ROCK1|Q13464
PRP4|Q13523
ATR|Q13535
RIPK1|Q13546
CAMK2B|Q13554
CAMK2G|Q13555
CAMK2D|Q13557
DYRK1A|Q13627
ACVR2B|Q13705
BMPR2|Q13873
CDK13|Q14004
IKKE|Q14164
MELK|Q14680
PDHK1|Q15118
CDK10|Q15131
PRKD1|Q15139
NDR1|Q15208
RSK3|Q15349
LKB1|Q15831
GRK1|Q15835
PAK1|Q16512
PKN2|Q16513
CAMK4|Q16566
MLK3|Q16584
MAPKAPK3|Q16644
PDHK4|Q16654
PHKG1|Q16816
AAK1|Q2M2I8
YSK4|Q56UN5
LRRK2|Q5S007
MLK4|Q5TCX8
TTBK1|Q5TCY1
TTBK2|Q6IQ55
NEK5|Q6P3R8
PKN3|Q6P5Z2
DSTYK|Q6XUX3
MAP3K15|Q6ZN16
IRE2|Q76MJ5
MARK2|Q7KZI7
NEK8|Q86SG6
TLK2|Q86UE8
YANK3|Q86UX6
PIM3|Q86V86
VRK2|Q86Y07
MYLK4|Q86YV6
HIPK1|Q86Z02
CAMK1D|Q8IU85
MAPKAPK5|Q8IW41
BRSK2|Q8IWQ3
FAM20C|Q8IXL6
NIM1|Q8IY84
ULK2|Q8IYT8
MINK|Q8N4C8
DCAMKL2|Q8N568
CAMKK1|Q8N5S9
HIPK4|Q8NE63
MYO3A|Q8NEV4
NEK11|Q8NG66
KIS|Q8TAS1
OSR1|Q8TAX0
ERK7|Q8TD08
NEK8|Q8TD19
BRSK1|Q8TDC3
NEK7|Q8TDX7
HASPIN|Q8TF76
GRK7|Q8WTQ7
MYO3B|Q8WXR4
DYRK2|Q92630
HPK1|Q92918
SGK3|Q96BR1
MASTL|Q96GX5
WNK4|Q96J92
PBK|Q96KB5
MARK4|Q96L34
MAK|Q96L96
CAMK1G|Q96NX5
TSSK2|Q96PF2
NEK1|Q96PY6
SMG1|Q96Q15
CHAK1|Q96QT4
PASK|Q96RG2
CAMKK2|Q96RR4
PRPK|Q96S44
SRPK1|Q96SB4
NIK|Q99558
ASK1|Q99683
MEKK3|Q99759
VRK1|Q99986
HRI|Q9BQI3
MNK1|Q9BUB5
CDK19|Q9BWU1
CHAK2|Q9BX84
SSTK|Q9BXA6
TSSK1|Q9BXA7
PINK1|Q9BXM7
WNK3|Q9BYP7
STK33|Q9BYT3
PRKD2|Q9BZL6
NUAK2|Q9H093
QIK|Q9H0K1
SLK|Q9H2G2
HIPK2|Q9H2X6
HIPK3|Q9H422
WNK1|Q9H4A3
PLK3|Q9H4B4
ATR|Q9H6X2
CLK4|Q9HAZ1
MNK2|Q9HBH9
NEK6|Q9HC98
PAK5|Q9NQU5
DYRK4|Q9NR20
SNRK|Q9NRH2
LATS2|Q9NRM7
BIKE|Q9NSY1
IRAK4|Q9NWZ3
YANK2|Q9NY57
ZAK|Q9NYL2
CDK12|Q9NYV4
PLK2|Q9NYY3
PERK|Q9NZJ5
MARK1|Q9P0L2
PIM2|Q9P1W9
PAK5|Q9P286
MST4|Q9P289
GCN2|Q9P2K8
NLK|Q9UBE8
DRAK1|Q9UEE5
TBK1|Q9UHD2
DAPK2|Q9UIK4
RSK4|Q9UK32
TNIK|Q9UKE5
COT|Q9UKG9
TLK1|Q9UKI8
SRPK3|Q9UPE1
ICK|Q9UPZ9
MOK|Q9UQ07
CAMK2A|Q9UQM7
AKT3|Q9Y243
NDR2|Q9Y2H1
QSK|Q9Y2K2
MEKK2|Q9Y2U5
DYRK1B|Q9Y463
RIPK3|Q9Y572
MST3|Q9Y6E0